query_id,language,claim,gold_label,gold_evidence,rank,retrieved_id,retrieved_language,retrieved_evidence,bm25_score,is_gold_evidence
afrifact_data_culture_hausa_657,hausa,Shugaba Muhammadu Buhari ya kaddamar da eNaira a ranar 20 ga watan Yunin 2016.,nei,"An samo sunan “Naira” daga kalmar “Nigeria” ta Obafemi Awolowo.Sai dai kuma, Naira a matsayin kudin da Shehu Shagari ya kaddamar a matsayin ministan kudi a shekarar 1973. Babban bankin Najeriya ya yi ikirarin cewa sun yi yunkurin shawo kan hauhawar farashin kayayyaki a duk shekara kasa da kashi 10%.",1,afrifact_data_culture_hausa_659,hausa,"Daga ranar 20 ga watan Yunin 2016, Naira ta samu damar yin iyo, bayan da aka sanya ta a kan ₦197 zuwa dalar Amurka 1 na tsawon watanni. Ciniki[a cewar wane?] ya yi hasashen yawan adadin naira zai kasance tsakanin ₦280 da ₦350 zuwa dala. A watan Oktoban 2021, Shugaba Muhammadu Buhari ya kaddamar da eNaira, nau'in dijital na kudin jihar a Najeriya.",53.94651934718813,False
afrifact_data_culture_hausa_657,hausa,Shugaba Muhammadu Buhari ya kaddamar da eNaira a ranar 20 ga watan Yunin 2016.,nei,"An samo sunan “Naira” daga kalmar “Nigeria” ta Obafemi Awolowo.Sai dai kuma, Naira a matsayin kudin da Shehu Shagari ya kaddamar a matsayin ministan kudi a shekarar 1973. Babban bankin Najeriya ya yi ikirarin cewa sun yi yunkurin shawo kan hauhawar farashin kayayyaki a duk shekara kasa da kashi 10%.",2,afrifact_data_culture_hausa_656,hausa,"Daga ranar 20 ga watan Yunin 2016, Naira ta samu damar yin iyo, bayan da aka sanya ta a kan ₦197 zuwa dalar Amurka 1 na tsawon watanni. Ciniki[a cewar wane?] ya yi hasashen yawan adadin naira zai kasance tsakanin ₦280 da ₦350 zuwa dala. A watan Oktoban 2021, Shugaba Muhammadu Buhari ya kaddamar da eNaira, nau'in dijital na kudin jihar a Najeriya.",53.94651934718813,False
afrifact_data_culture_hausa_657,hausa,Shugaba Muhammadu Buhari ya kaddamar da eNaira a ranar 20 ga watan Yunin 2016.,nei,"An samo sunan “Naira” daga kalmar “Nigeria” ta Obafemi Awolowo.Sai dai kuma, Naira a matsayin kudin da Shehu Shagari ya kaddamar a matsayin ministan kudi a shekarar 1973. Babban bankin Najeriya ya yi ikirarin cewa sun yi yunkurin shawo kan hauhawar farashin kayayyaki a duk shekara kasa da kashi 10%.",3,afrifact_data_culture_hausa_658,hausa,"Daga ranar 20 ga watan Yunin 2016, Naira ta samu damar yin iyo, bayan da aka sanya ta a kan ₦197 zuwa dalar Amurka 1 na tsawon watanni. Ciniki[a cewar wane?] ya yi hasashen yawan adadin naira zai kasance tsakanin ₦280 da ₦350 zuwa dala. A watan Oktoban 2021, Shugaba Muhammadu Buhari ya kaddamar da eNaira, nau'in dijital na kudin jihar a Najeriya.",53.94651934718813,False
afrifact_data_culture_hausa_657,hausa,Shugaba Muhammadu Buhari ya kaddamar da eNaira a ranar 20 ga watan Yunin 2016.,nei,"An samo sunan “Naira” daga kalmar “Nigeria” ta Obafemi Awolowo.Sai dai kuma, Naira a matsayin kudin da Shehu Shagari ya kaddamar a matsayin ministan kudi a shekarar 1973. Babban bankin Najeriya ya yi ikirarin cewa sun yi yunkurin shawo kan hauhawar farashin kayayyaki a duk shekara kasa da kashi 10%.",4,afrifact_data_culture_hausa_812,hausa,"Masharhanta salon siyasar Najeriya na ganin ficewar 'yan majalisa da kuma wasu gwamnonin APC, babban al'amari ne da zai iya raunata matsayin Shugaba Muhammadu Buhari a majalisar dokoki, kuma wata babbar barazana ce ga takararsa a zaben 2019.",21.075956191704044,False
afrifact_data_culture_hausa_657,hausa,Shugaba Muhammadu Buhari ya kaddamar da eNaira a ranar 20 ga watan Yunin 2016.,nei,"An samo sunan “Naira” daga kalmar “Nigeria” ta Obafemi Awolowo.Sai dai kuma, Naira a matsayin kudin da Shehu Shagari ya kaddamar a matsayin ministan kudi a shekarar 1973. Babban bankin Najeriya ya yi ikirarin cewa sun yi yunkurin shawo kan hauhawar farashin kayayyaki a duk shekara kasa da kashi 10%.",5,afrifact_data_culture_hausa_815,hausa,"Masharhanta salon siyasar Najeriya na ganin ficewar 'yan majalisa da kuma wasu gwamnonin APC, babban al'amari ne da zai iya raunata matsayin Shugaba Muhammadu Buhari a majalisar dokoki, kuma wata babbar barazana ce ga takararsa a zaben 2019.",21.075956191704044,False
afrifact_data_culture_hausa_657,hausa,Shugaba Muhammadu Buhari ya kaddamar da eNaira a ranar 20 ga watan Yunin 2016.,nei,"An samo sunan “Naira” daga kalmar “Nigeria” ta Obafemi Awolowo.Sai dai kuma, Naira a matsayin kudin da Shehu Shagari ya kaddamar a matsayin ministan kudi a shekarar 1973. Babban bankin Najeriya ya yi ikirarin cewa sun yi yunkurin shawo kan hauhawar farashin kayayyaki a duk shekara kasa da kashi 10%.",6,afrifact_data_culture_hausa_814,hausa,"Masharhanta salon siyasar Najeriya na ganin ficewar 'yan majalisa da kuma wasu gwamnonin APC, babban al'amari ne da zai iya raunata matsayin Shugaba Muhammadu Buhari a majalisar dokoki, kuma wata babbar barazana ce ga takararsa a zaben 2019.",21.075956191704044,False
afrifact_data_culture_hausa_657,hausa,Shugaba Muhammadu Buhari ya kaddamar da eNaira a ranar 20 ga watan Yunin 2016.,nei,"An samo sunan “Naira” daga kalmar “Nigeria” ta Obafemi Awolowo.Sai dai kuma, Naira a matsayin kudin da Shehu Shagari ya kaddamar a matsayin ministan kudi a shekarar 1973. Babban bankin Najeriya ya yi ikirarin cewa sun yi yunkurin shawo kan hauhawar farashin kayayyaki a duk shekara kasa da kashi 10%.",7,afrifact_data_culture_hausa_010,hausa,"An haife shi a ranar ashirin da biyar 25 ga watan Fabrairu, shekara ta alif ɗari tara da ashirin da biyar 1925 a garin , (a yau ) , ya kuma rasu ne a ranar ashirin da takwas 28 ga watan Disamba, shekara ta dubu biyu da sha takwas 2018 bayan jinya da gajeriyar rashin lafiya da yayi a wani asibiti dake",17.137156582918042,False
afrifact_data_culture_hausa_657,hausa,Shugaba Muhammadu Buhari ya kaddamar da eNaira a ranar 20 ga watan Yunin 2016.,nei,"An samo sunan “Naira” daga kalmar “Nigeria” ta Obafemi Awolowo.Sai dai kuma, Naira a matsayin kudin da Shehu Shagari ya kaddamar a matsayin ministan kudi a shekarar 1973. Babban bankin Najeriya ya yi ikirarin cewa sun yi yunkurin shawo kan hauhawar farashin kayayyaki a duk shekara kasa da kashi 10%.",8,afrifact_data_culture_hausa_011,hausa,"An haife shi a ranar ashirin da biyar 25 ga watan Fabrairu, shekara ta alif ɗari tara da ashirin da biyar 1925 a garin , (a yau ) , ya kuma rasu ne a ranar ashirin da takwas 28 ga watan Disamba, shekara ta dubu biyu da sha takwas 2018 bayan jinya da gajeriyar rashin lafiya da yayi a wani asibiti dake",17.137156582918042,False
afrifact_data_culture_hausa_657,hausa,Shugaba Muhammadu Buhari ya kaddamar da eNaira a ranar 20 ga watan Yunin 2016.,nei,"An samo sunan “Naira” daga kalmar “Nigeria” ta Obafemi Awolowo.Sai dai kuma, Naira a matsayin kudin da Shehu Shagari ya kaddamar a matsayin ministan kudi a shekarar 1973. Babban bankin Najeriya ya yi ikirarin cewa sun yi yunkurin shawo kan hauhawar farashin kayayyaki a duk shekara kasa da kashi 10%.",9,afrifact_data_culture_hausa_008,hausa,"An haife shi a ranar ashirin da biyar 25 ga watan Fabrairu, shekara ta alif ɗari tara da ashirin da biyar 1925 a garin , (a yau ) , ya kuma rasu ne a ranar ashirin da takwas 28 ga watan Disamba, shekara ta dubu biyu da sha takwas 2018 bayan jinya da gajeriyar rashin lafiya da yayi a wani asibiti dake",17.137156582918042,False
afrifact_data_culture_hausa_657,hausa,Shugaba Muhammadu Buhari ya kaddamar da eNaira a ranar 20 ga watan Yunin 2016.,nei,"An samo sunan “Naira” daga kalmar “Nigeria” ta Obafemi Awolowo.Sai dai kuma, Naira a matsayin kudin da Shehu Shagari ya kaddamar a matsayin ministan kudi a shekarar 1973. Babban bankin Najeriya ya yi ikirarin cewa sun yi yunkurin shawo kan hauhawar farashin kayayyaki a duk shekara kasa da kashi 10%.",10,afrifact_data_culture_hausa_354,hausa,"Duk da cewa wasan da ya yi da Iceland ya yi fice, bai ma isa ya ajiye 'yan Afirka ta Yamma a gasar ba saboda Argentina ta fitar da su A ranar 22 ga Yuni 2018, Musa ya ci sau biyu a wasan da suka doke Iceland da ci 2-0 a rukuninsu na biyu. wasan gasar cin kofin duniya. A watan Yunin 2019 ya zama dan wasa na uku da ya fi taka leda a kungiyar kwallon kafa ta Najeriya, inda ya zarce , bayan ya bayyana a wasan sada zumunci da Zimbabwe.",17.131178668988184,False
afrifact_data_culture_igbo_058,igbo,Ngagharị iwe a bụ ụzọ e si edozi esemokwu.,nei,Ọ bụ nnukwu nnupụisi mbụ ụmụ nwanyị mere na West Africa.,1,afrifact_data_culture_igbo_296,igbo,"Mbadiwe hibere akwụkwọ akụkọ nke ya, Daily Telegraph, dịka akụkụ ngagharị iwe.",15.243609553628843,False
